"" "50%" "2.5%" "97.5%"
"yPred[1]" 11.6211416429972 11.3211419698718 11.9243228633212
"yPred[2]" 12.2873058386231 11.9769411744353 12.5920084813641
"yPred[3]" 11.7197480249421 11.4160228966779 12.0288510310987
"yPred[4]" 11.4071763265267 11.10820845834 11.7055224328205
"yPred[5]" 11.5006824093724 11.1941475754297 11.8032938179396
"yPred[6]" 11.5372347988792 11.2276576462896 11.8415453310941
"yPred[7]" 11.4235873708317 11.1289187059109 11.7225025845839
"yPred[8]" 11.6190614838823 11.3082738883434 11.9278942123088
"yPred[9]" 12.4486488733056 12.1425324758554 12.749188473239
"yPred[10]" 11.4980840499368 11.1945742179121 11.8087310954516
"yPred[11]" 11.8460110878154 11.5426413664655 12.1456309369969
"yPred[12]" 11.5097898033978 11.2092423337041 11.8095927724235
"yPred[13]" 12.0404671357703 11.7406072369305 12.3425401728875
"yPred[14]" 11.9049672124744 11.6007987446328 12.2114346492364
"yPred[15]" 11.5369681842381 11.2360945975328 11.8370861876217
"yPred[16]" 11.3323996275999 11.0277669142477 11.6373504913859
"yPred[17]" 11.3790708790002 11.0796501871542 11.6840587652389
"yPred[18]" 11.4055309124247 11.1022547734167 11.7092494387035
"yPred[19]" 11.9752458846512 11.6696508265638 12.286640614589
"yPred[20]" 11.5555316894844 11.2517054160263 11.8589171362405
"yPred[21]" 11.7588111533001 11.4493080979368 12.0644400582982
"yPred[22]" 11.8274391503655 11.5210021317235 12.1397579945197
"yPred[23]" 11.7169593848147 11.4272400394623 12.0181249729404
"yPred[24]" 11.7917861081262 11.4880100387611 12.100119370117
"yPred[25]" 11.564037294083 11.2617527576087 11.8668680037204
"yPred[26]" 11.1531961548884 10.8490876267513 11.4594209376408
"yPred[27]" 11.7873924562349 11.4786724444466 12.0883054935179
"yPred[28]" 11.4347859515327 11.13836065679 11.7317367524622
"yPred[29]" 11.7284285229125 11.4333704460336 12.0311285796971
"yPred[30]" 11.4634235602655 11.159685073893 11.7715070295654
"yPred[31]" 12.3538343850191 12.0581217213998 12.6504501196465
"yPred[32]" 12.0996884502858 11.7992089224305 12.4073274223166
"yPred[33]" 11.3592837992362 11.0562205585348 11.6706940878153
"yPred[34]" 11.6745834170582 11.3723367795171 11.9737597389416
"yPred[35]" 11.5824704983115 11.2800237149389 11.8798248526765
