"" "50%" "2.5%" "97.5%"
"yPred[1]" 11.6237841624034 11.3139236212677 11.9288138815429
"yPred[2]" 12.2904331845513 11.9857023347687 12.5861805829709
"yPred[3]" 11.7240029777817 11.4178203882083 12.029261883069
"yPred[4]" 11.4062701380741 11.103271111533 11.7070921526378
"yPred[5]" 11.497152228753 11.1996607721565 11.8003830705296
"yPred[6]" 11.5317737978548 11.2246101875359 11.8391131523536
"yPred[7]" 11.4221194436964 11.117404736826 11.7281425214793
"yPred[8]" 11.6206972293421 11.3161948295569 11.9292354335188
"yPred[9]" 12.4484565771598 12.1531328725608 12.7563032735868
"yPred[10]" 11.5052003998661 11.1946057004985 11.8057073921423
"yPred[11]" 11.84149892763 11.5468762160162 12.1435809390715
"yPred[12]" 11.5111504311443 11.2089406570426 11.8113320370839
"yPred[13]" 12.0379565988013 11.732224332775 12.3446927882333
"yPred[14]" 11.9050773487443 11.5958918806474 12.2085595166569
"yPred[15]" 11.5358013695163 11.225228781791 11.8374600066284
"yPred[16]" 11.3342237036534 11.0303702525603 11.6426149387604
"yPred[17]" 11.3806715851311 11.0762267838849 11.6813901248673
"yPred[18]" 11.4050494923645 11.1001179894538 11.7101765744622
"yPred[19]" 11.9720943990959 11.670413647948 12.2737133215076
"yPred[20]" 11.5561766073317 11.255477178395 11.8619023357488
"yPred[21]" 11.7577896333028 11.4475351000805 12.0605827957925
"yPred[22]" 11.8285304192274 11.5281199142736 12.1353963988376
"yPred[23]" 11.7188882552987 11.4093929879725 12.0208693371177
"yPred[24]" 11.7888079109516 11.4939219701298 12.0952232256359
"yPred[25]" 11.5660918301787 11.2613823095823 11.8707092144932
"yPred[26]" 11.1543221115473 10.8525731098573 11.4582369996493
"yPred[27]" 11.7885845807404 11.4814131567654 12.0872790667093
"yPred[28]" 11.4341147423169 11.1373473588458 11.7353140964264
"yPred[29]" 11.7269764899142 11.430663778267 12.0302061147384
"yPred[30]" 11.4618083654126 11.1585921070927 11.7695340766359
"yPred[31]" 12.354283359556 12.0518462323096 12.6623550995388
"yPred[32]" 12.1025470961804 11.8009110678589 12.4035176715563
"yPred[33]" 11.3599863817854 11.0526683654688 11.6667820606821
"yPred[34]" 11.6722954928116 11.3670470517504 11.9765774071136
"yPred[35]" 11.5829359212048 11.2770020492808 11.8778433422834
